seq,first,last,age,street,city,state,zip,dollar,pick,date
28,Dale,Cook,21,Jumuv Square,Tigalhi,WI,71599,$1798.14,WHITE,03/30/1920
29,Luis,Hubbard,53,Vopip Circle,Zaihzor,MS,54119,$9944.57,RED,03/06/1982
30,Ollie,Shelton,58,Gimi Street,Fehgonge,GA,69016,$8216.99,BLUE,03/06/1992
31,Landon,Daniels,36,Zaew Trail,Lororuj,CT,28552,$7347.77,YELLOW,06/11/2055
32,Claudia,Jacobs,27,Belob Pass,Hekgugoc,NJ,57362,$5924.81,RED,11/07/1991
33,Nina,Gregory,28,Dinli Street,Zazebto,MD,79818,$632.90,BLUE,03/21/2037
34,Shawn,Oliver,24,Ikce Drive,Otekobe,ID,30579,$4564.34,WHITE,02/16/2026
35,Rena,Rivera,38,Tirgen Mill,Enujra,IA,74743,$9529.12,BLUE,02/25/1955
36,Charlotte,Fletcher,60,Edhag Loop,Hozojil,LA,59965,$700.28,YELLOW,07/23/1908
37,Ivan,Riley,18,Tipame Manor,Zemunwuc,OR,05706,$3897.07,WHITE,08/06/1926
38,Tommy,Mason,49,Kuvjon Court,Gigoma,ND,26539,$9060.53,GREEN,09/09/2065
39,Mabelle,McBride,38,Wojewa Center,Idmevka,AZ,84143,$8700.40,WHITE,04/26/1927
40,Charlotte,Johnston,48,Wujub Junction,Kacpigpa,AL,94082,$4552.50,YELLOW,07/14/1974
41,Norman,Gilbert,39,Jupliw Circle,Cuoviwi,ND,01119,$3009.09,RED,02/01/1901
42,Delia,Hernandez,62,Emnom Glen,Mivgile,NC,83090,$3995.42,YELLOW,03/19/1939
43,Aiden,Stewart,36,Fipejo Boulevard,Eleketu,SC,09321,$9504.82,RED,07/23/1902
44,Donald,Allen,40,Toonu River,Vabapuw,HI,55711,$7578.86,YELLOW,01/10/1920
45,Teresa,Walsh,20,Doti Pike,Dovivzip,OH,35771,$2004.32,WHITE,01/17/1929
46,Clarence,Neal,45,Mewkof Mill,Wassosuf,VA,01525,$5255.27,YELLOW,08/27/1951
47,Douglas,Smith,63,Ilovi Way,Zofihme,MN,02987,$2920.00,BLUE,11/16/1931
48,Jayden,Castro,41,Cebez Square,Pediud,UT,33847,$8111.56,BLUE,09/10/1961
49,Kenneth,Cortez,62,Ollo Street,Ockale,SC,63486,$2492.38,RED,02/14/2038
50,Nancy,Carter,18,Gigi Street,Nurtikge,HI,49180,$172.61,BLUE,05/18/1956
51,Myrtie,Hopkins,58,Zampi Lane,Igkahi,NH,39734,$221.80,WHITE,03/13/2062
52,Lenora,Parker,54,Zekcun Place,Pukajko,TX,25248,$8281.67,WHITE,03/22/1979
53,Anne,Clayton,56,Bugim Loop,Rurivic,SC,07098,$8373.84,RED,06/07/2034
54,Emily,Beck,31,Varje Lane,Igipehaw,SD,89459,$1516.22,WHITE,08/23/2005
55,Louise,Swanson,27,Mokot Extension,Titoab,CA,40439,$6133.87,BLUE,11/13/2012
56,Lenora,Hart,34,Ramzi Avenue,Motudcez,DC,93071,$8361.68,GREEN,10/26/2006
57,Ida,Yates,37,Arifes Plaza,Izasosu,MI,45043,$1727.52,RED,03/27/2025
58,Josie,Lamb,31,Sazo Place,Fugmallid,NJ,49621,$2359.18,YELLOW,01/22/1931
59,Ina,Palmer,37,Mizfo Highway,Imeitopo,NY,19265,$2341.62,WHITE,08/13/2024
60,Cecilia,Clark,23,Ukgu Highway,Lotwacet,SC,82809,$261.22,YELLOW,07/28/1960
61,Chester,Bailey,39,Jozkew Way,Ugvavuf,VA,90581,$4838.20,BLUE,06/14/1932
62,Virginia,Jordan,49,Lapku Plaza,Nejtevi,LA,09127,$1221.57,GREEN,09/03/2013
63,Edgar,Armstrong,60,Vebul Point,Selkamike,AZ,56093,$2945.02,YELLOW,09/24/1921
64,Benjamin,Long,25,Atauk Street,Zapogsa,VA,61689,$9692.11,WHITE,12/15/1945
65,Jean,Stevenson,29,Ucoah Boulevard,Nenoga,OR,59591,$153.38,YELLOW,07/26/2065
66,Mathilda,Holland,52,Ipeivi Trail,Isjuvsij,OK,09175,$4692.83,GREEN,12/10/1900
67,Leon,Mendoza,38,Kiku Heights,Esilajti,MT,01352,$6877.00,BLUE,08/11/1981
68,Dollie,Drake,51,Lubhu Avenue,Lukovtuj,SD,45605,$58.28,YELLOW,10/28/2054
69,Stanley,Logan,27,Soci Avenue,Biwokagi,FL,04608,$5292.73,BLUE,03/13/2025
70,Rachel,Massey,31,Idokim Key,Powweroz,WY,39344,$5985.39,WHITE,09/29/2014
71,Ray,Knight,41,Ovanuw Court,Puetemeh,AR,81566,$4788.89,YELLOW,05/14/2048
72,Victor,Green,53,Owinu Boulevard,Pomajge,MI,50141,$2736.93,BLUE,01/30/1954
73,David,Stone,44,Fazguv River,Luzugora,MA,07360,$3708.59,GREEN,03/18/2014
74,John,Lyons,38,Topare Turnpike,Bukazza,GA,94299,$8667.46,RED,06/12/1910
75,Lelia,Mann,31,Kiroh Point,Idojosel,MT,56736,$6419.07,GREEN,10/17/2012
76,John,Moreno,65,Paohi Point,Puhokogi,KS,44820,$7564.71,BLUE,08/27/1996
77,Corey,Mack,65,Tucnaz Street,Imocazi,WA,12002,$9391.82,YELLOW,09/13/1985
78,Marc,Pratt,28,Viwulo Mill,Jufuaf,FL,81639,$1626.42,GREEN,05/26/2045
79,Ray,Schneider,43,Zanfoc Square,Lumadot,ND,48759,$1298.59,WHITE,01/24/1964
80,Wesley,Welch,33,Talo Loop,Nezisod,WI,30954,$2305.79,GREEN,09/07/1930
81,Bessie,Goodwin,35,Ricve Boulevard,Aciinwo,WY,83686,$6276.08,GREEN,10/07/1909
82,Jeanette,Summers,64,Sibhuj Extension,Ocomasej,KY,69241,$2920.44,YELLOW,08/08/2028
83,Ophelia,Little,33,Juipu Mill,Februpoh,MA,15891,$156.48,WHITE,09/30/1910
84,Bertie,Russell,50,Puhbof Parkway,Oprivraz,NV,34264,$4703.15,YELLOW,08/31/2005
85,Pauline,Bennett,49,Dafra Street,Zetocle,NC,33668,$1441.49,YELLOW,01/20/2070
86,Evelyn,Fisher,51,Bifpa Park,Podadgu,IA,92789,$7642.53,WHITE,11/06/2019
87,Addie,Pope,40,Setlo Boulevard,Usoucvow,IA,85505,$4875.77,WHITE,03/28/1987
88,Delia,Erickson,37,Zutag Key,Evamsi,OK,34515,$8453.61,GREEN,08/13/1977
89,Dora,Cannon,38,Geduk Pike,Kofosvu,MO,96611,$8344.36,WHITE,09/29/1943
90,Aaron,Chambers,35,Muon Pike,Jebujda,MT,40272,$3257.10,RED,04/17/1977
91,Catherine,Peters,21,Pulav River,Sarioki,TN,78318,$1653.45,WHITE,09/01/1966
92,Isabella,Hughes,35,Fiebu Trail,Guofret,MA,02588,$4592.87,YELLOW,02/24/1977
93,Victor,Hudson,38,Ufizih Lane,Gujisji,MI,77946,$5937.87,BLUE,02/05/1922
94,Ryan,Bates,51,Reha Loop,Tuanegev,NH,56991,$4926.88,YELLOW,10/19/1996
95,Jonathan,Bell,38,Heci Place,Daiwaba,KY,79046,$5244.77,BLUE,12/19/2004
96,Mabel,Newman,23,Poana Extension,Falino,TN,53441,$6178.91,WHITE,02/03/2028
97,Devin,Meyer,41,Vaploh Highway,Belogoc,SC,35304,$9538.16,BLUE,09/02/1937
98,Richard,Snyder,65,Jigri Circle,Vibenuku,CO,95805,$5964.44,BLUE,05/13/1940
99,Celia,Mitchell,26,Najej Path,Gugurug,TX,65409,$9422.22,WHITE,03/29/1907
100,Delia,Bowers,27,Dukhaj Pass,Junagufi,IN,15309,$9294.94,RED,11/10/1967
